date,close,buy_date,buy_close,sell_date,sell_close,sell_profit,profit_average
2019-10-10,27.51,2020-04-20,6.26,,,,
2019-10-11,27.98,2020-04-22,5.64,,,,
2019-10-14,27.63,2020-04-23,5.93,,,,
2019-10-15,27.39,2020-04-24,5.97,,,,
2019-10-16,27.44,2020-04-27,6.74,,,,
2019-10-17,27.61,2020-04-29,7.8,,,,
2019-10-18,27.4,2020-04-30,7.47,,,,
2019-10-21,28.26,2020-05-01,6.84,,,,
2019-10-22,29.23,2020-05-04,7.06,,,,
2019-10-23,28.94,2020-05-05,6.89,,,,
2019-10-24,28.0,2020-05-06,6.54,,,,
2019-10-25,28.5,2020-05-07,6.47,,,,
2019-10-28,28.45,2020-05-11,6.54,,,,
2019-10-29,27.99,2020-05-12,6.41,,,,
2019-10-30,27.36,2020-05-13,6.11,,,,
2019-10-31,27.5,2020-05-14,6.2,,,,
2019-11-01,28.19,2020-05-15,6.36,,,,
2019-11-04,29.36,2020-05-19,7.44,,,,
2019-11-05,29.0,2020-05-26,7.45,,,,
2019-11-06,29.03,2020-05-27,7.66,,,,
2019-11-07,28.5,2020-05-28,7.24,,,,
2019-11-08,27.74,2020-06-01,7.14,,,,
2019-11-11,27.83,2020-06-02,7.52,,,,
2019-11-12,27.3,2020-06-03,8.59,,,,
2019-11-13,27.29,2020-06-05,11.16,,,,
2019-11-14,27.6,2020-06-09,11.96,,,,
2019-11-15,27.8,,,,,,
2019-11-18,27.96,,,,,,
2019-11-19,27.21,,,,,,
2019-11-20,26.42,,,,,,
2019-11-21,25.94,,,,,,
2019-11-22,25.86,,,,,,
2019-11-25,26.57,,,,,,
2019-11-26,26.71,,,,,,
2019-11-27,27.02,,,,,,
2019-11-29,26.93,,,,,,
2019-12-02,26.51,,,,,,
2019-12-03,26.51,,,,,,
2019-12-04,26.93,,,,,,
2019-12-05,26.74,,,,,,
2019-12-06,27.17,,,,,,
2019-12-09,27.51,,,,,,
2019-12-10,27.22,,,,,,
2019-12-11,26.63,,,,,,
2019-12-12,26.5,,,,,,
2019-12-13,26.05,,,,,,
2019-12-16,26.2,,,,,,
2019-12-17,25.95,,,,,,
2019-12-18,26.59,,,,,,
2019-12-19,27.27,,,,,,
2019-12-20,26.47,,,,,,
2019-12-23,26.03,,,,,,
2019-12-24,26.37,,,,,,
2019-12-26,26.3,,,,,,
2019-12-27,26.5,,,,,,
2019-12-30,26.27,,,,,,
2019-12-31,26.92,,,,,,
2020-01-02,25.93,,,,,,
2020-01-03,25.85,,,,,,
2020-01-06,25.96,,,,,,
2020-01-07,25.85,,,,,,
2020-01-08,26.0,,,,,,
2020-01-09,25.24,,,,,,
2020-01-10,25.01,,,,,,
2020-01-13,25.25,,,,,,
2020-01-14,25.85,,,,,,
2020-01-15,25.62,,,,,,
